"Batch", "n_estimators = 3", "n_estimators = 5", "n_estimators = 10", "n_estimators = 20", "n_estimators = 50"
1,0.870117,0.870117,0.870117,0.870117,0.870117
2,0.879883,0.879883,0.879883,0.879883,0.879883
3,0.885742,0.885742,0.885742,0.885742,0.885742
4,0.900391,0.900391,0.900391,0.900391,0.900391
5,0.883789,0.883789,0.883789,0.883789,0.883789
6,0.871094,0.871094,0.871094,0.871094,0.871094
7,0.87793,0.87793,0.87793,0.87793,0.87793
8,0.875,0.875,0.875,0.875,0.875
9,0.873047,0.873047,0.873047,0.873047,0.873047
10,0.880859,0.880859,0.880859,0.880859,0.880859
11,0.884766,0.884766,0.884766,0.884766,0.884766
12,0.880859,0.880859,0.880859,0.880859,0.880859
13,0.821289,0.821289,0.821289,0.821289,0.821289
14,0.863281,0.863281,0.863281,0.863281,0.863281
15,0.856445,0.856445,0.856445,0.856445,0.856445
16,0.845703,0.845703,0.845703,0.845703,0.845703
17,0.845703,0.845703,0.845703,0.845703,0.845703
18,0.84668,0.84668,0.84668,0.84668,0.84668
19,0.864258,0.864258,0.864258,0.864258,0.864258
20,0.871094,0.871094,0.871094,0.871094,0.871094
21,0.864258,0.864258,0.864258,0.864258,0.864258
22,0.868164,0.868164,0.868164,0.868164,0.868164
23,0.744141,0.744141,0.744141,0.744141,0.744141
24,0.870117,0.870117,0.870117,0.870117,0.870117
25,0.870117,0.870117,0.870117,0.870117,0.870117
26,0.886719,0.886719,0.886719,0.886719,0.886719
27,0.900391,0.900391,0.900391,0.900391,0.900391
28,0.838867,0.830078,0.830078,0.830078,0.830078
29,0.875,0.867188,0.867188,0.867188,0.867188
30,0.666016,0.625977,0.625977,0.625977,0.625977
31,0.895508,0.879883,0.879883,0.879883,0.879883
32,0.863281,0.860352,0.860352,0.860352,0.860352
33,0.879883,0.875,0.875,0.875,0.875
34,0.874023,0.87207,0.87207,0.87207,0.87207
35,0.882812,0.881836,0.881836,0.881836,0.881836
36,0.902344,0.894531,0.894531,0.894531,0.894531
37,0.912109,0.907227,0.907227,0.907227,0.907227
38,0.917969,0.910156,0.910156,0.910156,0.910156
39,0.916016,0.90918,0.90918,0.90918,0.90918
40,0.916016,0.911133,0.911133,0.911133,0.911133
41,0.924805,0.917969,0.917969,0.917969,0.917969
42,0.920898,0.915039,0.915039,0.915039,0.915039
43,0.927734,0.924805,0.924805,0.924805,0.924805
44,0.929688,0.925781,0.925781,0.925781,0.925781
45,0.926758,0.923828,0.923828,0.923828,0.923828
46,0.926758,0.922852,0.922852,0.922852,0.922852
47,0.926758,0.924805,0.924805,0.924805,0.924805
48,0.924805,0.922852,0.922852,0.922852,0.922852
49,0.923828,0.920898,0.920898,0.920898,0.920898
50,0.927734,0.923828,0.923828,0.923828,0.923828
51,0.922852,0.919922,0.919922,0.919922,0.919922
52,0.922852,0.921875,0.921875,0.921875,0.921875
53,0.923828,0.922852,0.922852,0.922852,0.922852
54,0.922852,0.920898,0.920898,0.920898,0.920898
55,0.924805,0.923828,0.923828,0.923828,0.923828
56,0.924805,0.924805,0.924805,0.924805,0.924805
57,0.926758,0.925781,0.925781,0.925781,0.925781
58,0.926758,0.925781,0.925781,0.925781,0.925781
59,0.926758,0.925781,0.925781,0.925781,0.925781
60,0.926758,0.924805,0.924805,0.924805,0.924805
61,0.927734,0.926758,0.926758,0.926758,0.926758
62,0.930664,0.928711,0.928711,0.928711,0.928711
63,0.931641,0.929688,0.929688,0.929688,0.929688
64,0.936523,0.935547,0.935547,0.935547,0.935547
65,0.935547,0.933594,0.933594,0.933594,0.933594
66,0.939453,0.936523,0.936523,0.936523,0.936523
67,0.936523,0.935547,0.935547,0.935547,0.935547
68,0.943359,0.939453,0.939453,0.939453,0.939453
69,0.94043,0.938477,0.938477,0.938477,0.938477
70,0.946289,0.942383,0.942383,0.942383,0.942383
71,0.947266,0.944336,0.944336,0.944336,0.944336
72,0.948242,0.945312,0.945312,0.945312,0.945312
73,0.950195,0.947266,0.947266,0.947266,0.947266
74,0.953125,0.951172,0.951172,0.951172,0.951172
75,0.954102,0.952148,0.952148,0.952148,0.952148
76,0.955078,0.953125,0.953125,0.953125,0.953125
77,0.956055,0.954102,0.954102,0.954102,0.954102
78,0.957031,0.955078,0.955078,0.955078,0.955078
79,0.958984,0.957031,0.957031,0.957031,0.957031
80,0.958984,0.958008,0.958008,0.958008,0.958008
81,0.960938,0.958008,0.958008,0.958008,0.958008
82,0.960938,0.958984,0.958984,0.958984,0.958984
83,0.961914,0.959961,0.959961,0.959961,0.959961
84,0.960938,0.958984,0.958984,0.958984,0.958984
85,0.959961,0.959961,0.959961,0.959961,0.959961
86,0.958008,0.958008,0.958008,0.958008,0.958008
87,0.959961,0.959961,0.959961,0.959961,0.959961
88,0.962891,0.961914,0.961914,0.961914,0.961914
89,0.963867,0.962891,0.962891,0.962891,0.962891
90,0.963867,0.961914,0.961914,0.961914,0.961914
91,0.96582,0.963867,0.963867,0.963867,0.963867
92,0.96582,0.963867,0.963867,0.963867,0.963867
93,0.967773,0.96582,0.96582,0.96582,0.96582
94,0.970703,0.967773,0.967773,0.967773,0.967773
95,0.970703,0.96875,0.96875,0.96875,0.96875
96,0.972656,0.969727,0.969727,0.969727,0.969727
97,0.972656,0.97168,0.97168,0.97168,0.97168
98,0.972656,0.97168,0.97168,0.97168,0.97168
99,0.973633,0.972656,0.972656,0.972656,0.972656
100,0.974609,0.973633,0.973633,0.973633,0.973633
101,0.974609,0.973633,0.973633,0.973633,0.973633
102,0.977539,0.976562,0.976562,0.976562,0.976562
